trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9966398834184859}",25,0,-57.75482648011368,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.002, 'e': 0.9964740739761475}",20,0,-128.0788304715079,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
44,False,"{'a': 0.002, 'e': 0.996304278638842}",30,0,-203.49493872598623,"{0: 14, 1: 7, 2: 4, 3: 3, 4: 2}",0
45,False,"{'a': 0.002, 'e': 0.9961304980857502}",30,0,-110.67469052547861,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.002, 'e': 0.9959527330119943}",20,0,-192.65624885280954,"{0: 6, 1: 3, 2: 8, 3: 1, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.9957709841286342}",20,0,-56.78479176024159,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.002, 'e': 0.9955852521626654}",20,0,-139.19249875006847,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9953955378570153}",30,0,-176.31472643964003,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
50,False,"{'a': 0.002, 'e': 0.995201841970541}",25,0,-129.232027906299,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
51,False,"{'a': 0.002, 'e': 0.9950041652780258}",25,0,-170.65020626022724,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
52,False,"{'a': 0.002, 'e': 0.994802508570176}",20,0,-102.38004871609239,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.9945968726536185}",30,0,-83.84483753033729,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
54,False,"{'a': 0.002, 'e': 0.9943872583508965}",25,0,-140.49769010888988,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
55,False,"{'a': 0.002, 'e': 0.9941736665004669}",30,0,-187.41250878963652,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
56,False,"{'a': 0.002, 'e': 0.9939560979566968}",20,10,-13.542589514195566,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.002, 'e': 0.9937345535898603}",20,0,-113.1248345023689,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
58,False,"{'a': 0.002, 'e': 0.9935090342861342}",20,0,-125.94271587065828,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
59,False,"{'a': 0.002, 'e': 0.9932795409475959}",20,0,-123.08919660282058,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.002, 'e': 0.993046074492218}",25,0,-40.83558966049775,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.002, 'e': 0.9928086358538663}",30,0,-155.21273046825087,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
62,False,"{'a': 0.002, 'e': 0.9925672259822949}",20,0,-93.9044461693761,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.9923218458431429}",20,0,-142.85468859532088,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.002, 'e': 0.9920724964179307}",25,0,-88.83768461044818,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
65,False,"{'a': 0.002, 'e': 0.9918191787040556}",20,0,-47.096202352843456,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.002, 'e': 0.9915618937147881}",20,0,-192.18903301824463,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
67,False,"{'a': 0.002, 'e': 0.9913006424792677}",30,7,-35.642838376519066,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.002, 'e': 0.9910354260424993}",20,0,-21.508406269959323,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.002, 'e': 0.990766245465348}",20,0,-136.98064934252605,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.9904931018245359}",20,0,-39.206306534086885,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.002, 'e': 0.9902159962126371}",25,0,-197.12343108381663,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
72,False,"{'a': 0.002, 'e': 0.9899349297380738}",30,0,-213.85028444176456,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
73,False,"{'a': 0.002, 'e': 0.9896499035251115}",30,0,-93.20305310002244,"{0: 21, 1: 5, 2: 1, 3: 2, 4: 1}",0
74,False,"{'a': 0.002, 'e': 0.9893609187138546}",20,0,-122.05833512194476,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
75,False,"{'a': 0.002, 'e': 0.989067976460242}",25,0,-139.38202073310237,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
76,False,"{'a': 0.002, 'e': 0.9887710779360422}",20,0,-133.57725231369236,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.002, 'e': 0.9884702243288492}",20,0,-72.53138057167315,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.9881654168420767}",20,0,-158.43585574782065,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.9878566566949545}",25,0,-126.50429147185159,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.9875439451225226}",20,0,-57.84264887370472,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
81,False,"{'a': 0.002, 'e': 0.9872272833756269}",30,0,-204.0317704111197,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
82,False,"{'a': 0.002, 'e': 0.986906672720914}",25,0,-144.52292531230313,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
83,False,"{'a': 0.002, 'e': 0.9865821144408262}",20,0,-88.48045136688741,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.002, 'e': 0.986253609833596}",25,0,-199.05803240411555,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
85,False,"{'a': 0.002, 'e': 0.9859211602132415}",30,0,-217.3229594274691,"{0: 14, 1: 4, 2: 9, 3: 0, 4: 3}",0
86,False,"{'a': 0.002, 'e': 0.9855847669095608}",35,0,-149.4728321996623,"{0: 21, 1: 7, 2: 4, 3: 1, 4: 2}",0
87,False,"{'a': 0.002, 'e': 0.9852444312681263}",20,0,-185.89592370824994,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
88,False,"{'a': 0.002, 'e': 0.9849001546502806}",20,0,-157.00831174928322,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
89,False,"{'a': 0.002, 'e': 0.9845519384331295}",30,0,-185.94869621223614,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
90,False,"{'a': 0.002, 'e': 0.9841997840095373}",20,0,-99.72313583961748,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
91,False,"{'a': 0.002, 'e': 0.9838436927881214}",20,4,-44.40369585264591,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.002, 'e': 0.9834836661932461}",25,0,-123.50034167116102,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
93,False,"{'a': 0.002, 'e': 0.9831197056650174}",20,0,-107.17023702574092,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
94,False,"{'a': 0.002, 'e': 0.9827518126592768}",35,24,-5.81113211175923,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.002, 'e': 0.9823799886475959}",20,0,-141.7981819559722,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
96,False,"{'a': 0.002, 'e': 0.9820042351172703}",30,0,-139.22838924155582,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
97,False,"{'a': 0.002, 'e': 0.9816245535713135}",25,0,-110.2251177395259,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.9812409455284513}",20,0,-104.62678063201561,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
99,False,"{'a': 0.002, 'e': 0.9808534125231153}",30,0,-227.97636010366642,"{0: 15, 1: 2, 2: 7, 3: 4, 4: 2}",0
100,False,"{'a': 0.002, 'e': 0.9804619561054371}",25,0,-218.7298840291918,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 5}",0
101,False,"{'a': 0.002, 'e': 0.9800665778412416}",30,14,-55.09935475784396,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 0}",1
102,False,"{'a': 0.002, 'e': 0.9796672793120416}",25,0,-250.85149571123304,"{0: 10, 1: 5, 2: 4, 3: 2, 4: 4}",0
103,False,"{'a': 0.002, 'e': 0.9792640621150305}",25,0,-186.78980331707356,"{0: 10, 1: 4, 2: 7, 3: 3, 4: 1}",0
104,False,"{'a': 0.002, 'e': 0.9788569278630767}",20,0,-95.39180082829854,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
105,False,"{'a': 0.002, 'e': 0.9784458781847165}",20,0,-146.6293680215058,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
106,False,"{'a': 0.002, 'e': 0.9780309147241483}",30,0,-190.14099561772719,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
107,False,"{'a': 0.002, 'e': 0.9776120391412251}",25,0,-135.5405035790589,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.002, 'e': 0.9771892531114489}",20,0,-82.74349213889431,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
109,False,"{'a': 0.002, 'e': 0.9767625583259631}",20,0,-112.11325189666388,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
110,False,"{'a': 0.002, 'e': 0.9763319564915464}",25,0,-81.43047474422438,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
111,False,"{'a': 0.002, 'e': 0.9758974493306055}",20,0,-95.35106695014964,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.002, 'e': 0.9754590385811684}",25,8,-47.859712203403916,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
113,False,"{'a': 0.002, 'e': 0.9750167259968777}",20,0,-92.34762625429954,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
114,False,"{'a': 0.002, 'e': 0.974570513346983}",30,0,-215.70917211826952,"{0: 13, 1: 7, 2: 7, 3: 0, 4: 3}",0
115,False,"{'a': 0.002, 'e': 0.9741204024163344}",25,0,-173.56923550365053,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
116,False,"{'a': 0.002, 'e': 0.9736663950053749}",20,0,-114.53912228364331,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",0
117,False,"{'a': 0.002, 'e': 0.9732084929301336}",25,16,-51.03584784291259,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.002, 'e': 0.9727466980222181}",35,0,-201.57347991117786,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
119,False,"{'a': 0.002, 'e': 0.9722810121288076}",20,0,-134.2076640853953,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
120,False,"{'a': 0.002, 'e': 0.971811437112645}",20,0,-55.38080767486717,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
121,False,"{'a': 0.002, 'e': 0.9713379748520297}",20,0,-87.70062604315467,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
122,False,"{'a': 0.002, 'e': 0.97086062724081}",20,0,-95.82282450080808,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
123,False,"{'a': 0.002, 'e': 0.9703793961883759}",25,0,-224.4512607067878,"{0: 9, 1: 4, 2: 8, 3: 1, 4: 3}",0
124,False,"{'a': 0.002, 'e': 0.9698942836196508}",20,16,6.029837535249058,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.002, 'e': 0.9694052914750845}",20,0,-91.70226246081559,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
126,False,"{'a': 0.002, 'e': 0.9689124217106447}",25,0,-79.65146036208944,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
127,False,"{'a': 0.002, 'e': 0.9684156762978101}",25,16,-21.312856476276266,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.002, 'e': 0.9679150572235615}",20,0,-9.951908119417359,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.002, 'e': 0.9674105664903746}",25,0,-146.80268728821147,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
130,False,"{'a': 0.002, 'e': 0.9669022061162115}",20,0,-29.416002942382683,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
131,False,"{'a': 0.002, 'e': 0.9663899781345132}",30,0,-242.196898495642,"{0: 16, 1: 3, 2: 4, 3: 4, 4: 3}",0
132,False,"{'a': 0.002, 'e': 0.9658738845941909}",20,10,-20.263085359097918,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
133,False,"{'a': 0.002, 'e': 0.965353927559618}",20,9,-28.01331659280111,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
134,False,"{'a': 0.002, 'e': 0.9648301091106221}",20,14,-11.416055332785966,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.002, 'e': 0.9643024313424761}",25,6,-34.303144477395335,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.002, 'e': 0.9637708963658905}",20,13,-58.27927409973954,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.002, 'e': 0.9632355063070045}",25,0,-57.5466961136122,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
138,False,"{'a': 0.002, 'e': 0.9626962633073776}",20,8,-15.03176843960002,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.002, 'e': 0.9621531695239809}",20,0,-88.35177854582673,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
140,False,"{'a': 0.002, 'e': 0.9616062271291891}",20,0,-147.6427328406732,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
141,False,"{'a': 0.002, 'e': 0.9610554383107709}",25,0,-94.44523933654057,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
142,False,"{'a': 0.002, 'e': 0.9605008052718809}",30,0,-174.87925958719808,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
143,False,"{'a': 0.002, 'e': 0.9599423302310505}",35,0,-174.1453461808636,"{0: 19, 1: 6, 2: 8, 3: 0, 4: 2}",0
144,False,"{'a': 0.002, 'e': 0.959380015422179}",20,0,-65.62311371691325,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
145,False,"{'a': 0.002, 'e': 0.9588138630945251}",30,0,-72.913250690414,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
146,False,"{'a': 0.002, 'e': 0.9582438755126972}",25,0,-125.63537911683423,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
147,False,"{'a': 0.002, 'e': 0.9576700549566448}",20,0,-69.40634261299513,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
148,False,"{'a': 0.002, 'e': 0.9570924037216496}",25,0,-143.20296963508196,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
149,False,"{'a': 0.002, 'e': 0.9565109241183156}",30,0,-248.82626585205315,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
150,False,"{'a': 0.002, 'e': 0.9559256184725605}",20,0,-133.65804502124007,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
151,False,"{'a': 0.002, 'e': 0.955336489125606}",20,0,-48.56541061567549,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
152,False,"{'a': 0.002, 'e': 0.9547435384339689}",30,0,-138.37134992308427,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
153,False,"{'a': 0.002, 'e': 0.9541467687694509}",20,0,-100.95135663128318,"{0: 9, 1: 0, 2: 11, 3: 0, 4: 0}",1
